timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T13:46:48.806940,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,62,,-8,T_DECK,42.3894,-71.2027,84.0
2025-10-24T13:46:48.807080,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3894,-71.2027,84.0
2025-10-24T13:46:48.807136,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3894,-71.2027,84.0
2025-10-24T13:46:48.807182,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3894,-71.2027,84.0
2025-10-24T13:46:48.807224,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3894,-71.2027,84.0
2025-10-24T13:46:48.807263,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3894,-71.2027,84.0
2025-10-24T13:47:02.582369,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,62,,-8,T_DECK,42.3894,-71.2027,84.0
2025-10-24T13:47:02.582662,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3894,-71.2027,84.0
2025-10-24T13:47:02.582975,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3894,-71.2027,84.0
2025-10-24T13:47:02.583142,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3894,-71.2027,84.0
2025-10-24T13:47:02.583283,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3894,-71.2027,84.0
2025-10-24T13:47:02.583393,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3894,-71.2027,84.0
2025-10-24T13:47:15.713768,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,62,,-8,T_DECK,42.3895,-71.2026,93.0
2025-10-24T13:47:15.714424,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3895,-71.2026,93.0
2025-10-24T13:47:15.714485,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2026,93.0
2025-10-24T13:47:15.714530,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2026,93.0
2025-10-24T13:47:15.714569,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2026,93.0
2025-10-24T13:47:15.714605,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2026,93.0
2025-10-24T13:47:28.896327,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,62,,-8,T_DECK,42.3895,-71.2026,93.0
2025-10-24T13:47:28.896431,!a2e990b0,90b0,Meshtastic 90b0,,,,,-19,UNSET,42.3895,-71.2026,93.0
2025-10-24T13:47:28.896476,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2026,93.0
2025-10-24T13:47:28.896515,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2026,93.0
2025-10-24T13:47:28.896552,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2026,93.0
