timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T13:12:42.201701,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:12:42.201826,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:12:42.201877,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:12:42.201918,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:12:42.201955,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:12:54.441390,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:12:54.441500,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:12:54.441548,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:12:54.441591,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:12:54.441629,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:13:06.483705,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:13:06.483826,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:13:06.483874,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:13:06.483916,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:13:06.483955,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:13:18.531815,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:13:18.531921,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:13:18.531968,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:13:18.532009,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:13:18.532048,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:13:30.669024,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,,,
2025-10-24T13:13:30.669136,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,,,
2025-10-24T13:13:30.669188,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,57,,-9,T_DECK,,,
2025-10-24T13:13:30.669231,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,,,
2025-10-24T13:13:30.669270,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,,,
2025-10-24T13:18:29.497305,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2028,77.0
